单词,词向量,近似top20 
key,"[ 0.04442828  0.1260913   0.06783555 -0.00702836 -0.05986443 -0.24291798
  0.2527844  -0.10368167  0.14737666  0.05391885 -0.08842983 -0.05806665
  0.2142983   0.03791235  0.15302359  0.34191346 -0.18572718  0.04250764
 -0.00721593 -0.15525892 -0.03770965  0.11198644  0.2217488   0.19069497
 -0.00986757 -0.17928104 -0.16043851  0.23540153 -0.04174854 -0.0048148
  0.09580224 -0.00932791 -0.07253895 -0.09977772  0.11166299 -0.10638032
 -0.00256099  0.20338571 -0.01334315 -0.29493502 -0.05143177  0.02584293
  0.02989756  0.0896935   0.06745137 -0.08312912 -0.04606424 -0.10223836
  0.04969208  0.12046114]","['failed', 'exchange', 'situation', 'community', 'nuclear', 'build', 'day', 'jiaxuan', 'demands', 'evil', 'improvement', 'task', 'governments', 'around', 'toward', 'bush', 'across', 'come', 'plan', 'western']"
ideological,"[ 0.7845695   0.00954508 -0.12437984 -0.5386592  -0.02075953 -0.1363358
 -0.295118   -0.48360053  0.3202198  -0.41855904  0.3371952   0.22568545
 -0.15093616 -0.1654689  -0.02641716  0.30888417 -0.19067506  0.08503307
 -0.41981363  0.18872178  0.15313892  0.04048491  0.0904351   0.15847565
 -0.791064    0.01095334  0.32587487 -0.10873623 -0.2640356   0.03474376
  0.54501426  0.0323806  -0.06018149 -0.2984381   0.46278307  0.31360176
 -0.17785797  0.14103244 -0.2372539  -0.23587003  0.23743236 -0.11330105
 -0.23701899 -0.11193345  0.52177536  0.36328837  0.5304613   0.22872387
  0.13874796  0.05790077]","['results', 'healthy', 'benefit', 'fact', 'agriculture', 'member', 'along', 'attempt', 'wish', 'opposition', 'representative', 'meet', 'shanghai', 'committees', 'aircraft', 'matters', 'jiaxuan', 'resolutely', 'another', 'short']"
exchange,"[ 0.09710068  0.21509945  0.09744176 -0.03964666  0.63298213 -0.13706964
 -0.45222363  0.5720392   0.12096488 -0.33548704 -0.150986   -0.1429784
  0.04314654 -0.5782659  -0.20429654  0.06422625  0.15381174  0.32097286
 -0.07360062  0.09517051  0.04796753  0.02050903  0.277372   -0.00183527
  0.00790165  0.33372512  0.04972566 -0.31519732  0.01543148 -0.10804285
 -0.19171187  0.30947056 -0.26795304  0.335124   -0.2707393  -0.1881923
  0.09844446 -0.31305838 -0.10969222  0.02899506  0.1828748  -0.14390557
 -0.5996237  -0.00395627  0.06716625  0.24281378 -0.06502555  0.0682952
  0.3368799  -0.06892523]","['position', 'currently', 'personnel', 'regard', 'russian', 'gradually', 'importance', 'short', 'positive', 'second', 'seen', 'morning', 'motherland', 'made', 'requirements', 'could', 'middle', 'two', 'failed', 'attitude']"
set,"[-0.08579863  0.18043226  0.05945     0.1272387  -0.12871866 -0.14683528
  0.01431954  0.02785142  0.01550936  0.2468033   0.16243298 -0.26922578
  0.2781977  -0.01326785 -0.0161376   0.03035543 -0.17346705 -0.01375464
  0.15335725 -0.23872672 -0.10729495 -0.06637014 -0.0272784   0.01281582
  0.08291825 -0.05725722 -0.08824686 -0.0010982   0.02071887  0.01279947
 -0.01964598 -0.24724616  0.0061333  -0.06872624  0.03550255 -0.18510757
  0.05150052  0.01495411 -0.00217975 -0.09479963 -0.01886306 -0.02475359
  0.03472112  0.2943681  -0.12241737 -0.02905635  0.05947025 -0.07058894
 -0.05316256  0.21154563]","['failed', 'systems', '1999', 'situation', 'leading', 'evil', 'question', 'governments', 'network', 'well', 'community', 'hand', 'cpc', 'crisis', 'plan', 'impact', 'hard', 'powell', 'bush', 'back']"
legal,"[ 0.42219684 -0.17013325 -0.05197831 -0.17476915 -0.22302157  0.19812477
  0.25995687 -0.0393247   0.3667925  -0.02809297  0.09179793  0.03170969
  0.00643517  0.07168675  0.19546041  0.32582328  0.1089886  -0.27346888
 -0.16514747  0.08575372 -0.00095615 -0.01155442  0.36741775  0.04335364
 -0.19887762  0.29412505  0.0645221  -0.1435692   0.09503505 -0.11567815
 -0.05993229 -0.09887348  0.2574953   0.26224756 -0.20619914  0.38361079
 -0.16551508  0.2238005   0.33129692 -0.13097352 -0.2734802   0.08313421
 -0.21848044  0.0546217   0.13711473  0.14927246 -0.105035    0.33100343
 -0.17881131  0.01942498]","['competition', 'council', 'regional', 'zhu', 'healthy', 'early', 'talks', '100', 'parties', 'present', 'toward', 'must', 'however', 'failed', 'demands', 'vice', 'day', 'ties', 'member', 'organization']"
resources,"[ 0.11700776  0.02566577  0.18477397 -0.13422675 -0.01772083  0.17807557
  0.43774056 -0.10451285  0.08952029  0.07270042 -0.06360473  0.25649425
 -0.12477362 -0.07404128  0.0209919  -0.09287256 -0.21170776 -0.00921851
  0.14580388  0.12192411  0.19028993  0.09067424  0.01926339 -0.05522486
 -0.0234484   0.0592974   0.06546193  0.00766691  0.1080386  -0.2473386
  0.07212109 -0.04702322 -0.21630158 -0.07891761  0.22179395 -0.01880044
  0.11422451 -0.16678521 -0.16131409  0.30671442  0.4623727   0.00771823
  0.12090425  0.11639734 -0.04163629  0.04037495 -0.09627949 -0.06244729
 -0.13913833 -0.26156425]","['immediately', 'taiwan', 'wei', 'inspection', 'peace', 'percent', 'resolutely', 'style', 'current', 'addition', 'development', 'conference', 'talks', 'short', 'nuclear', 'hard', 'strengthening', 'committees', 'concerned', 'goal']"
therefore,"[-0.08205945 -0.06774951  0.10835851  0.12832765  0.10553516 -0.00145341
 -0.09912468 -0.18718648 -0.0449971   0.13983953 -0.1177717   0.03344445
 -0.01406692  0.04791354 -0.09617189 -0.11504912 -0.0873841  -0.02131411
 -0.27075997  0.10277422  0.038394   -0.06160609 -0.17516726  0.22036918
  0.05306941  0.10465038 -0.0024881   0.13450482  0.00688521 -0.13442312
 -0.01743056  0.16951162  0.27980238 -0.12155449  0.11218306  0.05317714
 -0.07181614 -0.21513318 -0.14200999  0.0210055  -0.029615   -0.14598559
 -0.29545203 -0.16241746 -0.04333701  0.05255532 -0.02482386 -0.07006726
  0.03106559  0.05009469]","['political', 'cpc', 'rapidly', 'failed', 'financial', 'last', 'building', 'progress', 'community', 'future', 'human', 'zemin', 'allround', 'stressed', 'based', 'unity', 'development', 'living', 'economy', 'judicial']"
results,"[ 7.44070262e-02 -1.89181224e-01 -1.16213039e-01 -2.38121003e-02
 -2.09562138e-01 -1.27088472e-01 -1.29477143e-01 -1.58343792e-01
 -3.49657163e-02  1.00803033e-01 -1.36907110e-02 -4.41188812e-02
  1.29462093e-01  1.08411767e-01 -1.79486766e-01  1.95414543e-01
 -3.77765708e-02 -1.50363669e-01  2.40187645e-02  3.08593996e-02
 -1.06034748e-01 -3.75218987e-02  1.58375800e-02 -8.80504549e-02
 -5.57259731e-02  1.24586806e-01 -1.57964155e-01 -9.74870026e-02
  3.13926011e-01  1.63809076e-01  1.05569825e-01  1.39792815e-01
  2.27906518e-02 -2.42061347e-01  3.39163095e-03  7.31518492e-02
  1.73469111e-01 -9.33636874e-02 -2.99966019e-02 -1.52452171e-01
  8.78533255e-03 -1.47077665e-01  1.31732702e-01 -2.16989115e-01
 -8.84305835e-02 -8.28036480e-03 -3.65786664e-02 -1.80940187e-04
  1.82923302e-01  2.99465004e-02]","['failed', 'sea', 'task', 'meet', 'community', 'pressure', 'becoming', 'last', 'progress', 'socialist', 'peace', 'believe', 'situation', 'evil', 'fourth', 'remain', 'committee', 'made', 'bush', 'structure']"
study,"[ 0.30986223  0.08664118 -0.30267313  0.0241571  -0.1347541  -0.12106803
 -0.13702483 -0.22152352  0.11486529 -0.22524488  0.12797756  0.04186662
  0.09653496 -0.13869801 -0.09707554  0.03004874 -0.09513535 -0.23417723
 -0.324664   -0.04816126 -0.08287156  0.22586454  0.07992417  0.14946908
 -0.09649357 -0.04237594 -0.03187778  0.05733331 -0.1865581  -0.09126481
 -0.03527246  0.20385765  0.2590178  -0.13663769  0.12112106  0.00737076
 -0.00491146  0.06787376 -0.169864   -0.00576323 -0.1233914  -0.0853798
  0.0400109  -0.03795865  0.14299768 -0.09155654 -0.08311735  0.04862719
 -0.04915921  0.03789787]","['community', 'failed', 'regional', 'aircraft', 'spirit', 'component', 'discussion', 'situation', 'safeguarding', 'high', 'structure', 'socialist', 'attack', 'evil', 'cpc', 'improvement', 'task', 'direct', 'ties', 'united']"
cause,"[-0.05539782 -0.07037287 -0.38786247  0.04640917  0.08546409 -0.07583659
  0.13397433  0.0153365   0.11804954 -0.1525429   0.02499091  0.01293004
  0.2504653   0.19162703  0.01898219 -0.4840534  -0.29438582  0.06605199
 -0.10589139  0.17339565  0.0019606   0.01138608 -0.03687117 -0.27726746
 -0.07843505 -0.13684224 -0.20539261  0.13055743 -0.0872159  -0.07720124
 -0.02746668 -0.09714219 -0.06002532  0.12013448 -0.17181394  0.13921054
 -0.1549878   0.09874266  0.24705951 -0.04523197  0.02425731  0.26258844
  0.10514793 -0.04099713 -0.14386871 -0.08726018  0.0100291   0.22698538
 -0.10932175 -0.03151717]","['opportunity', 'essence', 'failed', 'production', 'toward', 'speech', 'plans', 'onechina', 'using', 'west', 'maintain', 'first', 'day', 'plan', 'propaganda', 'later', 'success', 'issue', 'early', 'united']"
different,"[ 0.23370986  0.2613942   0.13284893  0.01057775 -0.01383488  0.13699198
  0.12065212 -0.05752384  0.12088141 -0.02529402 -0.06768299  0.02074345
 -0.07752423  0.24497892  0.12975293  0.01586731 -0.13533531 -0.03792025
  0.03442852  0.10075926 -0.35965005  0.08305836  0.09596612 -0.22331524
 -0.27650982  0.11792554  0.01266471 -0.26871443 -0.27447695  0.01239847
  0.17279556 -0.03427085 -0.02320607  0.04412538 -0.20143764  0.01331697
  0.0473446  -0.1371257  -0.16487844 -0.1886786  -0.07285866  0.18681939
 -0.27119294  0.11996199 -0.23216829  0.2625526   0.1471942  -0.28152382
  0.11929326  0.0330564 ]","['failed', 'demands', 'interests', 'theory', 'wish', 'nuclear', 'living', 'hard', 'challenges', 'goal', 'history', 'however', 'expanding', 'jintao', 'political', 'talks', 'late', 'comprehensive', 'regional', 'negotiations']"
report,"[-0.11663757 -0.15144168 -0.24303299 -0.19616102 -0.01994882  0.26096168
 -0.1951199  -0.10638241 -0.08562736 -0.07205842  0.00477582 -0.11572484
 -0.06892006  0.14036165 -0.05340366  0.02469783 -0.03189186 -0.02023728
  0.20170426  0.05563914 -0.23923345 -0.16124886  0.11362144  0.18792202
 -0.02665075  0.11458908  0.23294744 -0.07075346  0.02442306  0.21277556
  0.11213425  0.2167325   0.11335793 -0.05577588  0.04322328  0.39693633
 -0.03820246  0.07544667  0.04473393  0.09556033 -0.13262552  0.09279235
  0.33219332  0.01789091  0.01674802  0.05225767  0.40684843 -0.1923263
 -0.19060746  0.01992075]","['plan', 'next', 'country', 'failed', 'historic', 'structure', 'advance', 'progress', 'network', 'yet', 'aspects', 'socialist', 'need', 'province', 'regional', 'terms', 'according', 'expected', 'meet', 'party']"
premier,"[ 0.2527872   0.22874731  0.11844268  0.35186777  0.28694874  0.51166385
  0.31817916  0.06935535 -0.4414444   0.1279561  -0.4121647  -0.32803282
 -0.19144155 -0.05375054 -0.5642296  -0.57636136 -0.1830153   0.12510572
 -0.13828346  0.43991116  0.20830569 -0.5150406  -0.2294258   0.11642075
 -0.20925403  0.16766214 -0.37735096 -0.10847522  0.4566438   0.4267727
 -0.07574917  0.07518253  0.42816085 -0.5222928  -0.10153248 -0.08771466
  0.31678605 -0.07266747 -0.00574266 -0.49215168  0.25277525 -0.00347919
 -0.02287956  0.39404663 -0.11707661  0.20478378 -0.01315943 -0.34141126
  0.45385733  0.22946791]","['modern', 'outstanding', 'article', 'lies', 'certain', 'behind', 'last', 'effort', 'progress', 'relatively', 'based', 'led', 'hand', 'absolutely', 'common', 'next', 'project', 'play', 'political', 'actually']"
concerned,"[-0.27649963 -0.09943407 -0.1748471   0.02877478  0.08109336  0.10232855
  0.13339357 -0.01322178  0.01060419  0.00634549  0.24621814 -0.0279187
  0.02985017 -0.20167844  0.03479794 -0.09821533  0.11459547  0.15650906
  0.07420139  0.11645982  0.21182439 -0.07329877 -0.16635789  0.17957935
 -0.0092576   0.18053465 -0.1367743   0.02501374 -0.00694466 -0.19857784
 -0.00691254 -0.01232231  0.238286   -0.05043652 -0.06406625  0.11666667
 -0.06251592 -0.16483258 -0.08735973  0.16216546  0.03579263  0.2851894
  0.18455124 -0.0633159  -0.04658334  0.15148954  0.21469033  0.12720919
  0.13754348  0.11500775]","['defense', 'financial', 'human', 'peace', 'members', 'failed', 'united', 'efforts', 'develop', 'cpc', 'country', 'high', 'political', 'among', 'positive', 'process', 'principle', 'diplomatic', '50', 'stressed']"
without,"[ 0.01454875 -0.05709497  0.02407324 -0.11022046  0.08708313  0.05154337
  0.15868844  0.01556224  0.19661978  0.06970574 -0.07030858  0.00475577
  0.05755099  0.06032564  0.18926194 -0.04637761  0.14014055  0.14607814
 -0.06989993 -0.10844442  0.10869804  0.24667615  0.30161685 -0.12225723
 -0.06942465  0.00346708  0.13362989 -0.05002322 -0.07719444 -0.12340054
  0.13426314 -0.10606471 -0.05038745 -0.20799018  0.15355025  0.08025822
 -0.05564808 -0.13623475 -0.01653913  0.17888176 -0.03399121 -0.08862727
 -0.24893296 -0.08580151 -0.08935797  0.01318265  0.21266353  0.17868151
  0.04437172 -0.23161295]","['40', 'goal', 'failed', 'nuclear', 'units', 'asked', 'day', 'china', 'since', 'rapidly', 'large', 'requirement', 'early', 'implementing', 'nations', 'demands', 'style', 'xinhua', 'continued', 'stability']"
industry,"[-0.26617336  0.16355573  0.01075571  0.07627317 -0.17601265 -0.11269336
  0.10191505 -0.10186211 -0.1494068  -0.03210738  0.0037709   0.04993831
 -0.09069908 -0.10429972  0.1355122   0.13136281  0.14638327  0.14722677
 -0.04490468 -0.01183213 -0.1367537  -0.08073036 -0.18455796  0.0786382
  0.0806244  -0.18145297  0.35682994 -0.11262531 -0.17377755 -0.15948653
  0.2063026   0.19811314 -0.0546005   0.07667176  0.08624438 -0.0678
 -0.00259486 -0.10742364 -0.19946551 -0.05141794  0.19043607 -0.16168532
  0.22133273  0.03887254  0.05496628  0.08291724  0.09237576 -0.259871
  0.01628926 -0.11691017]","['committees', 'ninth', 'basic', 'political', 'failed', 'united', 'hard', 'inspection', 'governments', 'province', 'see', 'zemin', 'plan', 'stressed', 'establishment', 'meet', 'wto', 'special', 'country', 'hoped']"
although,"[-0.32482997  0.02788466  0.01939707 -0.2173368  -0.30408627  0.0177116
 -0.19654182 -0.00583026  0.11538279  0.03004038 -0.00623853  0.22992165
 -0.1260297   0.16957873  0.03182276 -0.1017608  -0.24493879 -0.03251079
  0.04724463  0.03770375  0.17379327  0.09119108 -0.09495758 -0.23170157
  0.19535936 -0.10788541  0.0055248  -0.18072851  0.05800568  0.02206591
 -0.13344643  0.14510682  0.16198361  0.05038349 -0.09837112 -0.12430074
  0.13811207 -0.34944293 -0.14236583  0.07954417  0.08833908  0.05086631
 -0.10411026  0.23091646 -0.00219099 -0.04999764  0.14905071  0.15042134
 -0.12338663 -0.06615879]","['failed', 'impact', 'united', 'economy', 'positive', 'plans', 'launched', 'addition', 'among', 'back', 'wei', 'rate', 'later', 'community', 'investment', 'successfully', 'defense', 'goal', 'peoples', 'efforts']"
serious,"[ 0.20067228 -0.0470041   0.1811839   0.24360576  0.08101247  0.14347675
  0.06333835  0.15082599  0.00532607  0.15112962  0.08738741  0.17962766
  0.14396328  0.02301411 -0.22746858 -0.02137602  0.01846863  0.20141165
 -0.1304074   0.04897757 -0.11582168  0.01094132 -0.05423978  0.1090266
 -0.24431036  0.11540788 -0.3205321  -0.08338993  0.23043607 -0.179364
  0.24107595  0.02137276 -0.30228618  0.15065302 -0.04611322 -0.09918623
 -0.13893743  0.14499047  0.12720123  0.03790339 -0.11769778  0.04319455
 -0.22319596  0.04784297 -0.06731451 -0.11440887  0.18661979  0.05567715
  0.32587463  0.0509453 ]","['situation', 'family', 'political', 'failed', 'made', 'role', 'competition', 'future', 'implementing', 'eight', 'talks', 'far', 'strengthening', 'ethnic', 'expanding', 'invitation', 'meet', 'kind', 'part', 'go']"
fiveyear,"[ 0.19972675 -0.07577355 -0.04715237  0.10317951  0.1451631   0.1129983
  0.27985555  0.03843998  0.4939746  -0.16891794 -0.69780666  0.25912547
 -0.6197213  -0.18430533  0.44194686  0.4802355   0.28732908 -0.08274774
  0.2996881   0.27540562 -0.39466664  0.02158506  0.24821717  0.23036294
 -0.13612147 -0.40283465  0.23343934  0.30976152 -0.20651281  0.28598967
  0.23487999 -0.1736723  -0.24606337 -0.56125665  0.267519    0.08741549
  0.04688646  0.3289206   0.10622206  0.1850155   0.12199754 -0.5816641
  0.2293471   0.29195118  0.5154986   0.46252158  0.14717229 -0.10501786
  0.33806846  0.05498371]","['member', 'large', 'serve', 'xiaoping', 'territorial', 'committees', 'talks', 'shall', 'since', 'improvement', 'field', 'history', 'remarks', 'conference', 'province', 'may', 'growth', 'really', 'socialist', 'come']"
five,"[ 0.03941428  0.14359018  0.45690674  0.23829305 -0.16370204  0.1216822
 -0.15946016 -0.0708546  -0.2515332  -0.08107413 -0.14800097 -0.07344621
 -0.01139578 -0.02822681 -0.13095883  0.47774366 -0.13636178 -0.20349038
 -0.04915974  0.2980991  -0.09313089 -0.15701436  0.1682545  -0.3923688
  0.3617269   0.2752152  -0.13944289  0.03000686 -0.18839175  0.0175896
  0.07826009  0.12050925 -0.23290685 -0.06925226 -0.10862271 -0.27484393
  0.02737479  0.12409182  0.02196461 -0.12753153  0.08305631  0.34669372
  0.05055011 -0.38656932  0.03902542  0.08360258 -0.04738259  0.0652349
  0.1890887   0.14623716]","['greatly', 'requirements', 'form', 'stage', '10', 'failed', 'network', 'road', 'today', 'interests', 'small', 'protect', 'european', '20', 'plan', 'dprk', 'conditions', 'commercial', 'know', 'meet']"
day,"[ 0.19391654  0.08429454 -0.13551529 -0.16918744  0.13697599 -0.22224958
 -0.09600161 -0.06036241 -0.10727087 -0.19135442  0.04763217  0.03675321
 -0.14896338 -0.06316844 -0.2039018  -0.01008283 -0.09858349  0.02547617
  0.1279949  -0.07527686  0.06615212 -0.23965394 -0.13268995  0.03779515
  0.2617669  -0.0482519  -0.19615307  0.27362028 -0.11072074  0.1048306
 -0.00218353 -0.0543536   0.03224422  0.0817583   0.07743368  0.05173901
  0.1998242  -0.1347738   0.04958821 -0.18139724 -0.27348208  0.00771528
 -0.08202637  0.07800795 -0.02085549  0.1618887   0.04277115 -0.06334931
 -0.18638767 -0.03374363]","['failed', 'members', 'peace', 'plans', 'know', 'allowed', 'today', 'situation', 'high', 'community', 'building', 'impact', 'positive', 'united', 'among', 'aircraft', 'talks', 'natural', 'direct', 'well']"
carry,"[ 0.01921947 -0.10762328  0.04022545 -0.04576383 -0.17796488 -0.15732318
  0.10212297  0.07772448  0.1419563   0.00654429  0.09368762  0.12003475
  0.1729738   0.08231451  0.18212962 -0.19379823 -0.12178125  0.04099792
 -0.01725614 -0.08588083  0.12183043  0.20462236  0.36186776  0.02403145
 -0.06396186  0.03632068 -0.1230407  -0.07575247 -0.07750937 -0.21715362
  0.18057631  0.11796208  0.10544547 -0.06195369  0.07153591 -0.03972312
 -0.2316268   0.07183069  0.10258684 -0.15513343  0.08345765  0.16131155
 -0.03838089 -0.01835531 -0.09462503  0.20852691  0.0970274   0.02953952
 -0.00977069  0.16733854]","['failed', 'early', 'step', 'toward', 'concerned', 'nations', 'zhu', 'propaganda', 'leading', 'nuclear', 'part', 'zhang', 'living', 'family', 'ties', 'however', 'meet', 'dialogue', 'korea', 'crossstrait']"
hope,"[-0.00683454 -0.2800472  -0.16651359 -0.26081488  0.05157342 -0.02343829
  0.21924235 -0.00924549  0.09308792  0.06506237 -0.16527109 -0.3983456
 -0.11941153  0.10302994  0.09197751 -0.04615441 -0.2213747   0.08715045
 -0.33272105  0.14703006  0.23855531 -0.01305466 -0.08748468 -0.4072275
  0.371289   -0.00917795 -0.04665259  0.1438372  -0.12038662 -0.03107438
 -0.07399767  0.04276789  0.35237214 -0.04754435 -0.20511882 -0.29512355
  0.11452161  0.16004495 -0.08223163  0.24319752  0.07932508  0.18019788
 -0.1848068  -0.08620168 -0.05755924 -0.04457831 -0.07149774  0.08393
  0.16247956 -0.00819407]","['current', 'korean', 'diplomatic', 'outside', 'economic', 'safeguarding', 'failed', 'zhang', 'nuclear', 'common', 'significance', 'due', 'bush', 'south', 'october', 'hand', 'correct', 'remain', 'community', 'peace']"
positive,"[-0.26440743 -0.21900204  0.04171462 -0.11510638 -0.3350405  -0.07069291
  0.10250451 -0.0897348  -0.09821004  0.13575856  0.01241906 -0.09054689
  0.11845284 -0.2702523  -0.08631252 -0.05618008  0.18466485  0.02772828
  0.0586157   0.01294917 -0.12628573 -0.00626801  0.23538722  0.0814983
  0.1704957  -0.05742456  0.07848124  0.39496413 -0.24248737  0.12525566
 -0.01948652  0.12415268  0.1393822  -0.28921926  0.01745914 -0.17432639
 -0.03877584  0.05503853  0.04290265 -0.2176768  -0.00409058 -0.22323753
  0.18756044 -0.00837256 -0.03198228  0.14891951 -0.37583297 -0.12655143
 -0.2581619   0.19796741]","['dialogue', 'enemy', 'plan', 'failed', 'ninth', 'year', 'actively', 'network', 'development', 'shuibian', 'move', 'evil', 'meet', 'civil', 'united', 'build', 'jiang', 'modernization', 'demands', 'chen']"
theory,"[-0.08520669  0.0010803  -0.14101593 -0.0378962   0.2530016  -0.03585581
 -0.05195109  0.16571556  0.06586313 -0.09504371  0.14417903  0.04819108
 -0.08610653  0.01413421 -0.05178422 -0.08868811 -0.00156903  0.05461399
 -0.01735855  0.08091225  0.08320408 -0.00906754 -0.04466625 -0.08806924
 -0.02091032  0.17088236 -0.12222923 -0.0749179   0.00039156 -0.10566985
 -0.03767058  0.00569162  0.09282558 -0.09095674  0.04542483 -0.20215014
  0.13758759 -0.19449037 -0.18781176 -0.25558627  0.11213294  0.01268317
 -0.01776166  0.10015081  0.2167524   0.01968746 -0.05717608  0.11164498
 -0.22069296  0.03592897]","['failed', 'peace', 'parties', 'efforts', 'high', 'cpc', 'building', 'united', 'zemin', 'human', 'situation', 'current', 'strengthening', 'stressed', 'training', 'onechina', 'impact', 'june', 'financial', 'jintao']"
fields,"[ 0.05355893  0.09315979  0.00540152 -0.10259365 -0.14709015  0.04919194
  0.10059438 -0.01250424  0.13203256 -0.20864344  0.08945891 -0.22311646
 -0.02532253  0.22833672  0.08852821 -0.04250818  0.07269467 -0.07985844
  0.14955088  0.24053106 -0.09291383 -0.11274771 -0.06684434 -0.03723001
  0.12257366 -0.09520047 -0.04365382 -0.15903215 -0.04107432 -0.02888276
 -0.04628243 -0.01338602 -0.18047889  0.18355028  0.26533028  0.00547166
  0.02468596 -0.00816378 -0.03867659 -0.0262086   0.1299598   0.01673559
 -0.11482067  0.0979408  -0.20661002  0.01631168  0.01338932 -0.0735034
  0.14833423 -0.11974814]","['made', 'failed', 'goal', 'nuclear', 'plan', 'know', 'personnel', 'department', 'china', 'implement', 'since', '2', 'management', 'firmly', 'efforts', 'structure', 'peoples', 'situation', 'hard', 'systems']"
conference,"[-0.04106548 -0.08912898  0.0322005  -0.23322016  0.02208425  0.0374999
  0.13665129  0.13409427  0.03238253  0.25696573 -0.0387085  -0.06194857
 -0.13011305 -0.08203212 -0.11826392  0.0658178   0.18817107 -0.09372085
  0.02088038 -0.09514827  0.14134094 -0.11241975 -0.07504968  0.19710197
  0.20814243  0.14562106 -0.04338495  0.05751235  0.09488716  0.21246536
 -0.23163146  0.04442898 -0.00576336 -0.12840545  0.05830963  0.16541052
  0.10173346 -0.08942492  0.07255893  0.14593399 -0.19693074 -0.20137599
 -0.09617362  0.15165909 -0.21796657  0.01794807  0.13487932 -0.05920823
  0.15980415 -0.09226364]","['failed', 'peace', '1', 'systems', 'members', 'role', 'implement', 'country', 'think', 'socalled', 'last', 'complete', 'pointed', 'personnel', 'europe', 'days', 'shall', 'part', 'progress', 'contributions']"
water,"[-0.01832272  0.22946036  0.26329583  0.10454894  0.00903101 -0.02281753
 -0.01938467 -0.16948417  0.08411912  0.13614418 -0.04172684 -0.06169719
 -0.3321641  -0.0880494  -0.08377767  0.12646733 -0.05137276 -0.05119567
  0.1705478  -0.069174   -0.17168632  0.2452883   0.31124833  0.13692261
 -0.19427986  0.20767808  0.13376622 -0.08967567  0.09919079 -0.16015473
  0.24487673 -0.06789818 -0.06838706 -0.28495842  0.22624665  0.00947232
 -0.09685112 -0.08172949 -0.05448777 -0.06543399  0.25705406 -0.16713442
  0.16142155  0.02867513  0.01924053  0.0405792   0.16699433 -0.08662968
 -0.14929937 -0.1876665 ]","['tenghui', 'expand', 'visiting', 'macao', 'exchanges', 'pressure', 'failed', 'zemin', 'according', 'style', 'direction', 'peasants', 'shall', 'civil', 'committees', 'serve', 'rights', 'concerned', 'funds', '1']"
struggle,"[-0.07104132  0.08012646  0.01739557 -0.08866486  0.10203861 -0.15484819
 -0.267135    0.07919094  0.0430669  -0.04008465  0.1850325  -0.00920466
  0.15596801  0.14577769 -0.00762796  0.0922374  -0.09485468 -0.10258255
  0.06108158  0.37142792  0.09363526  0.01025087 -0.06763759  0.18502374
  0.15613142 -0.05696597  0.01820621  0.09557106  0.18781686  0.03891895
  0.07770072 -0.1996543  -0.01974336  0.03203608 -0.02357823 -0.02249737
 -0.12448736  0.21146902 -0.06190832  0.12830047  0.09005377  0.08059669
 -0.0096061  -0.18187831  0.15469137 -0.08650301  0.1550672  -0.11649355
 -0.16198368  0.0747605 ]","['failed', 'impact', 'unity', 'plan', 'korea', 'department', 'financial', 'made', 'situation', 'promote', 'structure', 'israel', 'chief', 'percent', 'yet', 'parties', 'bush', '50', '10th', 'know']"
see,"[-0.02939978  0.04629597  0.19813338 -0.11642764 -0.04462392 -0.13325642
  0.00241621  0.14864987 -0.16535784  0.15725714  0.08097941  0.09092791
  0.13861789 -0.12353546  0.17649695 -0.0057619   0.10070784 -0.015834
  0.04538099 -0.00941512  0.09517125  0.01196838 -0.05533731 -0.13280095
  0.0811212  -0.1917725   0.09653962  0.24556704  0.07130448 -0.132008
 -0.20700103 -0.24892828  0.19673158 -0.03315818 -0.13293804  0.13263613
 -0.11154489  0.00918559  0.12756053 -0.03610661  0.02287506 -0.02263005
 -0.13005078 -0.01780347  0.26837152  0.06517027 -0.21000971  0.0777666
 -0.06820527 -0.27572682]","['well', 'zhang', 'failed', 'circumstances', 'building', 'know', 'financial', 'parties', 'minister', 'global', 'part', 'today', 'income', 'political', 'science', 'changes', 'services', 'criminal', 'attitude', 'efforts']"
achievements,"[-0.21250173 -0.02194611 -0.04799865  0.07211158 -0.46175888 -0.22287416
 -0.0360668   0.05409475 -0.01843438  0.06655223  0.00256542 -0.07743094
 -0.29118136 -0.08337212  0.06629252  0.04537271 -0.02547626 -0.1723188
 -0.07799572  0.01713036 -0.00514338 -0.29560545 -0.04631189  0.19456956
  0.21191472  0.02543763  0.0902968   0.02750154  0.04883896 -0.28143242
  0.06267444  0.18445002 -0.06897885 -0.02606511  0.09338143  0.00895908
 -0.18669893 -0.2867626   0.18895087  0.1452166   0.3073327  -0.12332822
  0.154027    0.06236476 -0.09409598 -0.02875855  0.09561769 -0.16510537
  0.09859475  0.02799823]","['meet', 'ninth', 'without', 'basic', '1999', 'deputy', 'systems', 'science', 'failed', 'structure', 'reunification', 'economy', 'hu', 'management', 'implement', 'guarantee', 'conditions', 'conducted', 'committee', 'wto']"
