单词,词向量,近似top20
us,"[ 3.08617324e-01  2.50703152e-02  9.34287533e-02 -1.21931247e-01
  2.54618227e-01  4.57925558e-01  8.66906252e-03  1.19603731e-01
 -5.69479465e-02 -2.52334237e-01  8.42375904e-02 -2.67199539e-02
  6.13682121e-02  1.86280102e-01 -2.79314011e-01 -2.54588097e-01
  3.85695010e-01  4.78745639e-01  2.47285619e-01 -6.27890304e-02
  1.10329516e-01  1.46554440e-01  3.19476932e-01  1.02397218e-01
 -9.30639170e-03 -3.46402153e-02  9.70067829e-03  8.46350715e-02
  4.85035637e-03  4.73059230e-02 -1.28711954e-01 -3.68619524e-02
  4.79092985e-01  9.58761945e-02 -1.92064606e-02 -4.68735956e-02
 -4.35653739e-02  1.28235742e-01  2.25579664e-01 -1.12585448e-01
 -2.38514331e-04  1.46185786e-01 -1.92309186e-01  1.18953763e-02
  2.04848453e-01  5.97962253e-02 -4.84635532e-02  2.90859938e-01
 -2.82646090e-01 -2.52029479e-01]","['lu', 'election', 'criminal', 'others', 'including', 'high', 'support', 'organized', 'failed', 'agriculture', 'parties', 'goal', 'always', 'success', 'come', 'positive', 'hand', 'circumstances', '40', 'income']"
economic,"[ 0.27939788 -0.23553886  0.09973232 -0.21986304 -0.0783687  -0.08215094
  0.02016176  0.00461674  0.03279214 -0.03092206 -0.2424135   0.3914777
 -0.3447417  -0.17681287  0.5707471   0.5312523  -0.00942391 -0.32567787
  0.00728796 -0.20268604  0.10015918 -0.15634592  0.26249093 -0.04164464
 -0.48177183 -0.3072159   0.13210651 -0.36488518 -0.35568663  0.12073765
  0.3093208  -0.43792874 -0.28049466 -0.12733018 -0.20636193  0.2165906
 -0.3857056  -0.13074446  0.46264386 -0.03443706 -0.26272982  0.04228413
  0.10828289  0.00642804 -0.23270282  0.3930733  -0.24693939  0.387389
  0.13633284 -0.03791844]","['qichen', 'mechanism', 'opinions', 'industrial', 'could', 'making', 'longterm', 'crossstrait', 'action', 'enemy', 'given', 'march', 'side', 'bilateral', 'western', 'three', 'markets', 'incident', 'set', 'however']"
relations,"[ 3.23688127e-02 -5.78560457e-02 -1.18703403e-01 -1.55120924e-01
  1.20360680e-01  4.16472666e-02 -1.23124234e-01 -5.99890724e-02
 -5.86099848e-02  6.76866099e-02 -4.01603393e-02 -1.02244057e-01
 -1.73221260e-01  1.03271812e-01 -4.65418436e-02 -1.07914776e-01
 -1.32675916e-01  9.78870913e-02 -3.17555815e-01  9.15513933e-02
  2.14063570e-01 -2.01785877e-01 -4.63150203e-01 -3.34627810e-03
  1.42535880e-01 -6.15887977e-02  2.82990038e-01  1.05380230e-01
 -6.58517629e-02  9.18223858e-02 -6.29697144e-02 -1.61941871e-01
 -2.49845497e-02 -1.12357318e-01 -2.82168912e-06 -6.55336976e-02
  3.91287714e-01 -6.49388358e-02 -3.55538130e-02  4.78605032e-02
  1.62271693e-01 -1.45573271e-02 -1.37599289e-01 -6.28674626e-02
 -2.03611881e-01  5.45508973e-03 -3.27104807e-01 -5.42821921e-02
 -4.54544649e-03  3.85640934e-02]","['korean', 'agriculture', 'october', 'progress', 'failed', 'opening', 'unity', 'complete', 'resources', 'view', 'minister', 'among', 'building', 'rate', 'region', 'political', 'principle', 'old', 'hand', 'current']"
united,"[ 0.133885   -0.19125777  0.16357398 -0.32377678  0.02472192  0.42532292
  0.26821935 -0.30070826 -0.28507912 -0.54177064 -0.39470336  0.12295054
 -0.4603801  -0.32166687 -0.22124813  0.25039843 -0.08521818 -0.28381568
 -0.12798522  0.49097192  0.38277623 -0.14738685  0.28231123 -0.28661296
 -0.3204511   0.47900754  0.32440037 -0.19250013  0.13543369  0.28266734
  0.18717496 -0.22572127 -0.1101843   0.0454921  -0.06100111 -0.07224303
 -0.1568649  -0.02051826  0.29111505  0.01911771 -0.03855975  0.28263536
 -0.439356    0.32546717  0.62681246  0.31255338  0.22644798  0.10338721
  0.10977521  0.03146962]","['county', 'life', 'historical', 'competition', 'research', 'dprk', 'representative', 'american', 'kinds', 'strive', 'implementing', 'sides', 'activities', 'support', 'parties', 'macao', 'efforts', 'show', 'however', 'currently']"
states,"[-0.21249756 -0.07173453 -0.07903289 -0.07089216 -0.15172714 -0.08805156
  0.00110833 -0.04466939  0.02587964 -0.09961344  0.1173779   0.064744
  0.04815212 -0.15714341 -0.10772678 -0.12109194 -0.01677248  0.15788083
 -0.04297186  0.07341561 -0.00453763 -0.06903801 -0.1374337   0.04968007
 -0.00998469 -0.00921041 -0.02758067  0.06001702 -0.13092008  0.0151518
 -0.08208833  0.14386034 -0.11020154  0.10822447 -0.07666452 -0.20703804
  0.12079725  0.05138947 -0.12249031  0.15761687 -0.04958696 -0.05055762
  0.00416987  0.04228408  0.0536974  -0.07879159  0.09616703  0.01700945
 -0.06695937 -0.1592591 ]","['failed', 'situation', 'plan', 'plans', 'defense', 'political', 'stressed', 'systems', 'strengthening', 'ninth', 'changes', 'high', 'efforts', 'human', 'agreed', 'among', 'today', 'know', 'parties', 'development']"
party,"[ 0.1260677  -0.10933439 -0.24578889  0.01162177  0.16030614  0.22199105
  0.12971221 -0.19428852  0.13878284 -0.15594415  0.35041663 -0.1630552
 -0.1355623  -0.12158963  0.04934976 -0.05639507 -0.10949871 -0.01508656
  0.08787246 -0.08835861  0.4320085   0.24340557 -0.06658804  0.15980385
 -0.3121188  -0.14514278 -0.01169291  0.23909381  0.2527943  -0.00112068
  0.23780522 -0.11079022  0.20301895  0.00661252  0.10084757  0.30190033
 -0.10416777  0.20554528  0.03205647 -0.18603733 -0.10355285 -0.12215329
  0.33686355  0.11173648  0.12295026  0.16662376  0.07505857 -0.08809316
 -0.1555695   0.4841868 ]","['regional', 'regarding', 'province', 'family', 'improvement', 'party', 'discussion', 'council', 'highlevel', 'others', 'affairs', 'historic', 'powell', 'space', 'socialist', 'spirit', 'putin', 'investment', 'healthy', 'prc']"
government,"[ 0.02538288 -0.04519023 -0.119596   -0.08172695  0.00287891  0.16719119
  0.14181556  0.10887274 -0.16020298 -0.00784452  0.055654    0.15269612
  0.18653859 -0.06957939  0.09693466 -0.03608585 -0.22019729  0.03706907
  0.1673381  -0.08331215 -0.10150272 -0.03481274 -0.07743695  0.10534229
 -0.13683248 -0.17468882  0.13663663 -0.04463065  0.2634258  -0.02088071
 -0.00766735 -0.1252899   0.15481389  0.3042151  -0.04036129  0.27228403
 -0.02065642  0.0851051  -0.09350847 -0.20315214 -0.05288881 -0.0319411
  0.07981861 -0.19676705  0.14533737 -0.15652621  0.07599751 -0.00386962
 -0.20701379  0.0763693 ]","['socialist', 'failed', 'department', 'community', 'regional', 'onechina', 'china', 'understand', 'competition', 'political', 'situation', 'talks', 'allround', 'added', 'develop', 'used', 'global', 'evil', 'policies', 'made']"
one,"[ 0.0650884   0.14407088  0.13193713 -0.16806595  0.1046783  -0.11815271
  0.02124378 -0.11131346 -0.08160888 -0.25002933  0.17568852  0.05451226
  0.10398187 -0.18127325  0.4402441  -0.11291212 -0.11336906  0.2850221
  0.09924809  0.3009686   0.18512185  0.12967446 -0.16187109  0.08336198
  0.00182746  0.11609813  0.15559608  0.17074168  0.07152948  0.15689431
 -0.31556845 -0.06504103  0.05921769  0.30436116  0.25778878 -0.1809035
 -0.5238423  -0.3433628  -0.34165058  0.1660064   0.39843997 -0.25731766
  0.27899262  0.0185828   0.5826647   0.18335205  0.2896449   0.5378169
 -0.37334293 -0.00847999]","['lu', 'effective', 'chief', 'continually', 'command', 'attempt', 'historical', 'circumstances', 'cities', 'young', 'positive', 'short', 'structure', 'percent', 'rule', 'stated', 'strengthening', 'existing', 'including', 'stressed']"
must,"[-0.0834861   0.04635261  0.16952257  0.32327977 -0.10644302 -0.07628622
  0.17824776 -0.11273465  0.19512616 -0.27127102  0.08636838 -0.13974883
  0.2290597  -0.15593247 -0.42964113 -0.23501474 -0.12118142  0.02345179
  0.22043061 -0.21844368 -0.38099292  0.12159762  0.04464805 -0.1346806
  0.00261817 -0.04703714 -0.04819085  0.05731693 -0.27225995 -0.27775106
  0.14611246 -0.02256394 -0.01935147 -0.21117762  0.16398348  0.43905723
  0.03062431 -0.05968477 -0.3482322  -0.00732712  0.05927963 -0.63770396
 -0.05139499 -0.18006773 -0.09622921 -0.15814124  0.05357964 -0.16347232
  0.23102482 -0.03680602]","['wto', 'may', 'two', 'relevant', 'socialist', 'idea', 'chen', 'stability', 'best', 'environment', 'since', 'actively', 'future', 'allround', 'going', '40', 'whole', 'discussion', 'chairman', 'decision']"
military,"[ 0.17600001  0.0212349   0.15920338 -0.1821202  -0.15123713  0.0260668
  0.19488582 -0.16758701 -0.04588512 -0.0447497   0.10815707  0.0240842
  0.05367809  0.02775411  0.13672775  0.03472069  0.00507939  0.2602543
 -0.07117501 -0.00095804  0.06928355  0.11360674  0.36116207  0.24285544
  0.11051335 -0.17131194 -0.01187444 -0.09824393 -0.19619134  0.00639981
  0.00663973  0.04127992 -0.06994371 -0.17897004 -0.21657161  0.26118484
  0.11895928  0.18079224  0.17415732 -0.2486808  -0.09535202  0.41951844
  0.13352728 -0.04057712  0.11453187  0.02320149 -0.00800589  0.25124535
 -0.1951563   0.16419291]","['day', 'failed', 'network', 'leading', 'early', 'zhu', 'high', 'brought', 'form', 'today', 'onechina', 'fourth', 'nuclear', 'later', 'plan', 'along', 'situation', 'always', 'talks', 'council']"
