单词,词向量,近似top20 
report,"[-0.00632094  0.14468113  0.05161222  0.05588672 -0.15906931 -0.24561746
  0.01487671  0.24747533 -0.19849993 -0.23942791  0.00075239  0.05967003
 -0.28467652 -0.1573043   0.16947247  0.05304119  0.04071885  0.24803689
  0.06694772 -0.1408359  -0.02580622  0.3083106   0.05298709  0.04922744
 -0.11049514  0.09606788 -0.04803289 -0.10990144  0.19316763  0.1902283
  0.0622401   0.09583103  0.17160352 -0.09732839  0.03643915  0.32602212
 -0.02251111  0.19753455  0.10449722 -0.06874216 -0.07696883 -0.09920656
  0.08383474  0.16849513 -0.02881803  0.01728928  0.15237355  0.11512364
  0.04357528 -0.0562283 ]","['challenges', 'management', 'structure', 'guiding', 'within', 'historical', 'anniversary', 'advance', 'duty', 'fields', 'closely', 'therefore', 'made', 'characteristics', 'evil', 'think', 'iraq', 'members', 'build', 'historic']"
premier,"[-0.40516955  0.00425839 -0.48896003  0.21981068  0.32089415 -0.29612994
 -0.5059067   0.23292962  0.04210739 -0.3927006   0.45634183 -0.6431291
 -0.26868758  0.00705714 -0.10437189 -0.13952255 -0.45855024 -0.05789054
  0.92333317 -0.41457123  0.23815362  0.08540081 -0.0970093  -0.48074186
  0.21502836 -0.54804134 -0.33473325  0.01058281  0.4366281   0.5958908
 -0.2993814  -0.23715131 -0.24646008  0.3925804   0.625045    0.5002229
 -0.24715456  0.5927699   0.00415314  0.30720723  0.09533839  0.08841771
 -0.36335954  0.47187257 -0.3350874   0.31142014  0.42773587 -0.61128277
 -0.01984911 -0.530149  ]","['absolutely', 'rongji', 'manner', 'common', 'never', 'entire', 'already', 'strive', '2000', 'middle', 'become', 'deputies', 'west', 'share', 'cadres', 'nmd', 'principles', 'project', 'say', 'students']"
concerned,"[ 0.04991204 -0.01174548 -0.08102452 -0.11448289 -0.0870579   0.03893495
  0.1534106  -0.04108712  0.02176187  0.13423638  0.15796448  0.15118994
  0.06799785  0.02877388 -0.0622816   0.06857093  0.05884518 -0.16768746
 -0.00572993 -0.20690009 -0.06057844  0.11360278 -0.24115808 -0.01232802
  0.09305089  0.05011271  0.0637596  -0.08639774  0.09006179  0.05984364
 -0.05015923  0.09843002  0.03996792  0.18663968  0.03753084  0.00115015
 -0.05061424 -0.04355613  0.15925007 -0.07140838 -0.00364662 -0.01386241
 -0.09627496  0.0096497   0.19268823  0.03260715  0.08096125 -0.12927549
  0.15787487  0.20015237]","['stressed', 'university', '50', 'country', 'rather', 'korea', 'laws', 'defense', 'workers', 'shall', 'department', 'rural', 'space', 'supervision', 'training', 'province', 'hightech', 'tremendous', 'powell', 'resources']"
without,"[ 0.00676315 -0.18674304  0.04021377 -0.1820037   0.13153099  0.10000911
  0.05620737 -0.01497146 -0.12760618  0.04794622 -0.07873382  0.0975271
  0.0832655   0.11348978 -0.04624116  0.07119922  0.00118732  0.06123781
 -0.15082206  0.15094705 -0.03450594 -0.12119963 -0.03953682 -0.10726419
  0.11204369 -0.03361899  0.09804919  0.03080443 -0.00437568  0.08821713
 -0.11596865  0.02280583 -0.08539153 -0.13130954 -0.00784233 -0.11614674
 -0.07791044  0.1004565  -0.09741566 -0.00853905 -0.0042426  -0.10193478
  0.12697053 -0.2273943  -0.16312557  0.08285261 -0.20782465 -0.0611683
  0.03340612  0.16772039]","['natural', 'later', 'effectively', 'speed', 'onechina', 'difficulties', 'aircraft', 'expanding', 'form', 'standing', 'step', 'antichina', 'network', 'understanding', 'defense', 'person', 'competition', 'department', 'come', 'day']"
industry,"[ 0.21461938  0.01890646  0.01412914  0.09686264 -0.18075281  0.07525789
  0.17373905  0.05374563 -0.19415948  0.3812724   0.04385254  0.07184106
  0.11980665 -0.05525984  0.08933884  0.0102024  -0.01034335 -0.00479736
  0.20364165  0.07106378  0.03715255  0.00413258 -0.02772314  0.32125208
 -0.09505228  0.03522307  0.02301998 -0.17420489 -0.2469203  -0.08174751
 -0.06931041  0.29003555  0.22310922  0.09487022 -0.2105459  -0.14891222
 -0.04515294 -0.04724971  0.04859265 -0.07629783 -0.24272095  0.06633398
 -0.09657311  0.11541933  0.3607793  -0.02602939  0.06030932  0.09361005
 -0.23884444 -0.27046964]","['systems', 'back', 'hightech', 'tang', 'treaty', 'responsible', 'economy', 'hard', 'state', 'february', 'vice', 'task', 'give', 'develop', 'rights', 'localities', 'know', 'guarantee', 'cold', 'stated']"
although,"[-0.05702578 -0.10025698 -0.18635751 -0.06590246 -0.00066257  0.12339142
 -0.17451172 -0.06380738  0.007092    0.02143781  0.3435726  -0.17990473
 -0.02474404  0.1974387   0.15399024  0.17908658  0.08545373 -0.36692035
  0.17134038  0.19199486 -0.0602525  -0.0237777   0.07430989  0.0176294
  0.15417665 -0.10275063  0.13765539 -0.08134268 -0.08361554  0.13011894
  0.03762381 -0.12228744 -0.09873869  0.12029944  0.0918937  -0.21183811
 -0.08159272 -0.12436481 -0.1265357   0.16290282  0.02912543  0.05105231
 -0.2094834   0.11797453  0.02143978  0.09385918 -0.11053811 -0.02568883
 -0.18974526 -0.30460742]","['young', 'strengthening', 'constitution', 'certainly', 'zemin', 'npc', 'carry', 'actually', 'lu', 'left', 'across', 'using', 'percent', 'korea', 'resources', 'view', 'science', 'get', 'even', 'israel']"
serious,"[-0.0605113   0.01031866  0.05656938 -0.02692763  0.12487905 -0.08706935
 -0.12947649  0.01456532  0.09109858 -0.15909961 -0.1026856  -0.11447044
 -0.26445016 -0.14197937  0.12427349 -0.2632777   0.19982496  0.21252729
 -0.06076495 -0.00744157  0.03972395 -0.10538083  0.1476193  -0.1617232
 -0.07647378 -0.07552565 -0.13038935  0.2323013   0.14231798 -0.12312876
  0.10238931 -0.09044851 -0.09330835  0.00773864  0.10449788  0.07321396
 -0.07133064  0.10390701  0.09041735 -0.11913431  0.25995433  0.07005004
  0.09006573  0.06848513 -0.05941008 -0.03765988 -0.1488928  -0.0714946
  0.03464673 -0.05639997]","['nearly', 'failed', 'gradually', 'largescale', 'adopt', 'natural', 'facing', 'morning', 'stateowned', 'achieve', 'prc', 'made', 'rapidly', 'scope', 'income', 'qian', 'theoretical', 'situation', 'expanding', 'history']"
fiveyear,"[-0.13704766  0.6359924   0.5816298  -0.45804173  0.1679623   0.3070031
 -0.06685584 -0.42855138 -0.00859529 -0.3960147   0.08698071 -0.18151024
  0.3426506   0.21280761 -0.21835195  0.13875929 -0.14520492  0.49589545
 -0.3904762   0.18578029 -0.22380038  0.40151453 -0.07484437  0.9198722
  0.3377453  -0.31557983  0.3249404   0.1611712  -0.58536303 -0.32521388
 -0.5368145  -0.10468659 -0.26750422 -0.78264326 -0.50407094  0.3820686
 -0.35539702 -0.37594128 -0.01071389  0.16737223 -0.6805832  -0.6350872
 -0.42363784  0.29209557 -0.28457785 -0.27651644  0.6351564   1.0659913
 -0.3138402   0.64046896]","['strictly', 'regions', 'action', 'democratic', 'learned', 'bilateral', 'india', 'taiwan', 'technical', 'scale', 'chen', 'matters', 'cultural', 'tenghui', 'sectors', 'services', 'visit', 'total', 'around', 'pay']"
five,"[ 0.06608749 -0.36032268  0.2231211  -0.05188688 -0.0062332   0.16515385
  0.048581   -0.05373811  0.13133371 -0.18863921 -0.05173443 -0.40013748
  0.21198869  0.18730289  0.05304435 -0.15804286 -0.06770021  0.03269202
 -0.15252599  0.3807231   0.2852405  -0.39333758  0.3568115   0.10511831
 -0.11628836  0.1711446   0.13841349 -0.04064883 -0.08187229 -0.10145279
 -0.11383801 -0.10745808 -0.04828145 -0.07054035  0.05279201  0.06141569
  0.02060946  0.04256523 -0.15596864 -0.02828308  0.13192636  0.08421558
 -0.05831119  0.05717376 -0.34276834  0.19979556 -0.07515813  0.28008577
 -0.05866779 -0.38715175]","['troops', 'population', 'mechanism', 'days', 'particularly', 'socialism', 'judicial', 'income', 'conducted', 'schools', 'area', 'theory', 'face', 'india', '20', 'expanding', 'requirements', 'even', 'left', 'speed']"
day,"[-0.07498973 -0.26689678 -0.05875824 -0.13925391 -0.14786954  0.01913276
 -0.13261114  0.0929818   0.04713414  0.12659988  0.1700484   0.13154493
 -0.02596203  0.22161917  0.04018824  0.14955135  0.09269344 -0.15336958
  0.11420498 -0.03530744 -0.05649773  0.01679579  0.10640622 -0.25884277
  0.05070131 -0.06474222  0.16606443 -0.16068996  0.18501233  0.0768135
  0.19693655  0.12193482  0.01077279  0.08319397  0.13745235 -0.03945094
 -0.1361365  -0.02356031  0.11986291 -0.02543203 -0.00772112 -0.10635148
 -0.05169221 -0.07866722 -0.04751154  0.09336558 -0.03533499 -0.19491376
  0.07553513  0.00997041]","['50', 'due', 'npc', 'ago', '10th', 'industries', 'office', 'resources', 'space', 'lu', 'premier', 'situation', 'korea', 'actual', 'go', 'impact', 'political', 'positive', '30', 'get']"
carry,"[-0.00805905 -0.03190854  0.13114187  0.01033633  0.14045778  0.10093375
  0.00862016 -0.23543848 -0.04905399  0.06303322 -0.24439995  0.03793737
  0.23049347  0.00175226 -0.04637826  0.11520085  0.11225293  0.03901277
 -0.20865123 -0.07647172 -0.10604578 -0.15046495 -0.04781111  0.15241657
 -0.04610709  0.0695538  -0.00724507 -0.03742871  0.01276097 -0.13889407
  0.03249946  0.06280685 -0.00183005 -0.09731162 -0.17444876 -0.01655721
  0.14632143 -0.17436391  0.01371955  0.0455251   0.11294886  0.07512259
  0.20058893 -0.20744282 -0.01036876 -0.03480281 -0.05999241 -0.10099981
  0.04147053  0.2645276 ]","['later', 'moment', 'speed', 'antichina', 'early', 'nuclear', 'improvement', 'natural', 'leading', 'done', 'form', 'concerned', 'remain', 'white', 'another', 'units', 'elements', 'results', 'business', 'regional']"
hope,"[ 0.05523113 -0.08386829 -0.16303022 -0.05908503 -0.09051077  0.35340616
 -0.29767635 -0.19764838 -0.00374703  0.05230256  0.224052    0.02125069
 -0.08514715  0.06246575 -0.06091416 -0.10779974 -0.197285   -0.30643457
  0.19380566  0.26081252  0.08112545 -0.14674442 -0.06094006  0.03331536
  0.34932953 -0.1435587   0.0421963   0.12950747 -0.21584658 -0.02206502
 -0.18508352 -0.20826316 -0.22910719  0.11714501 -0.03746852 -0.15318564
  0.02229131  0.09049036  0.01581441  0.3590402   0.00356232 -0.05708863
 -0.08407814  0.09045922  0.00339578 -0.02559055  0.01657954  0.03061492
 -0.30696034 -0.19513634]","['economic', 'industry', 'correct', 'august', 'state', 'left', 'zemin', 'sides', 'thanks', 'organizations', 'struggle', 'news', 'command', 'chinese', 'percent', 'interests', 'dialogue', 'addition', 'certainly', 'korea']"
positive,"[ 0.13301632  0.39880484  0.0880368   0.3935295   0.24147521 -0.04993787
  0.15935157  0.0974537  -0.06596696 -0.14728384 -0.17763753 -0.19310625
  0.06325828 -0.26155797 -0.16122462 -0.0682456  -0.10072307  0.09438486
 -0.3853116   0.06675974 -0.17523044  0.18148099  0.18036176 -0.03069472
 -0.14703369 -0.07348654 -0.18051043  0.32456672 -0.2703667  -0.33011308
  0.03594327  0.05922012 -0.13758041 -0.04297318  0.03781993 -0.16935144
  0.21992995 -0.36862043  0.12308598  0.2126851  -0.22438835  0.13798319
  0.2240574  -0.15781018 -0.24048385  0.22919188 -0.06070917  0.15207285
 -0.06701492 -0.07842486]","['favorable', 'spiritual', 'big', 'xinhua', 'direct', 'cooperation', 'statement', 'came', 'talks', 'britain', 'saying', 'stresses', 'paper', 'matters', 'going', 'modernization', 'contacts', 'received', 'enemy', 'moment']"
theory,"[-0.00504388 -0.07044998 -0.10010178  0.11620829 -0.07135396  0.08998461
 -0.19111587  0.1579488  -0.00477753  0.06860982  0.00555467  0.10164087
 -0.09104632 -0.09862681 -0.03798229 -0.00504136 -0.05610509 -0.01282679
 -0.08586089 -0.02644429 -0.07437796  0.05533878  0.09472297 -0.0454675
 -0.02300936 -0.14146838 -0.00690952  0.05012423  0.07075622 -0.00947514
  0.18610543 -0.04485148 -0.054153    0.0751543   0.08827017  0.0045219
  0.09120551 -0.1286471   0.01982312  0.14340633 -0.0514896  -0.00098122
  0.14013283 -0.1033375   0.03143258 -0.1148232  -0.00520135 -0.10729279
  0.06477816  0.10994101]","['high', 'improvement', 'human', 'projects', 'look', 'failed', 'communist', 'talks', 'planes', 'made', 'workers', 'dialogue', 'antichina', 'parties', 'resources', 'political', 'early', 'integrity', 'nearly', 'first']"
fields,"[-0.03213213  0.1559896   0.12001123  0.18504731 -0.02414718  0.01307911
  0.06049447  0.04206659  0.15472515 -0.10140194  0.01961227 -0.1712152
 -0.02598055  0.00949913  0.02585861 -0.00040565 -0.00830998  0.05938669
  0.11570022  0.11768247  0.02543067 -0.09122517  0.04809996  0.14043048
 -0.17609185  0.06192117 -0.11680053 -0.12203072 -0.02006031  0.06713919
 -0.09244764 -0.07762972  0.1832902  -0.14431949 -0.09135722  0.18051192
 -0.00041826  0.19972134 -0.34018633 -0.01411864  0.00804621  0.02967089
 -0.01138611  0.02209396 -0.01788241 -0.00176506  0.0277323   0.02180126
 -0.1341054  -0.31304926]","['rate', 'even', 'could', 'vice', 'goal', 'failed', 'historical', 'hard', 'beneficial', 'caused', 'diplomatic', 'cult', 'drive', 'sea', 'natural', 'resources', 'task', 'opportunities', 'members', 'nuclear']"
conference,"[-0.01056639  0.14777261  0.0361873   0.01032655  0.11149926 -0.06336666
 -0.04561491  0.11119267 -0.01444564 -0.08141865  0.14545196 -0.1675284
  0.06589063 -0.0698532  -0.16363616  0.00732897  0.01075949  0.02502582
  0.07510991 -0.2668047  -0.06719472  0.14725386  0.08997874 -0.04763387
  0.06678247 -0.03084015 -0.11346504  0.03813943  0.02889698  0.17786272
  0.06912556  0.00650262  0.04678124 -0.04021054  0.11443768  0.21428056
 -0.01356724  0.02664824  0.07124705 -0.11954268 -0.2476477  -0.04212973
  0.02663707  0.11786143 -0.15568243  0.20906733  0.23718877  0.08434518
 -0.09951475  0.03954345]","['opportunities', 'next', 'members', 'talks', 'historical', 'difficult', 'regional', 'history', 'agricultural', 'committees', 'duty', 'hand', 'contributions', 'first', 'better', 'member', 'pointed', 'rural', 'reunification', 'failed']"
water,"[ 0.34347153 -0.35465467  0.27561706  0.12705354 -0.02153042 -0.11694744
  0.10895272 -0.08622784 -0.24163987  0.2719872  -0.19962431  0.16178757
 -0.21611401 -0.12174223  0.29892766  0.16056646  0.15040915 -0.12613985
 -0.01906399  0.03417949  0.06367246 -0.02474613 -0.08457382  0.22089107
 -0.26574534  0.2578869  -0.20659772 -0.21974063  0.14068289 -0.04349725
  0.43958881 -0.08534499  0.26586473 -0.18381819 -0.2729613  -0.02960155
  0.1640179   0.01756239  0.12747341 -0.40093347  0.05314009  0.42533544
  0.29490882 -0.14425968  0.4598329   0.11246233 -0.03845249  0.02874545
  0.08053169 -0.04623268]","['growth', 'sense', 'energy', 'create', 'direction', '1999', 'peasants', 'final', 'pressure', 'kong', 'paid', 'governments', 'june', 'expand', 'laid', 'wto', 'rights', 'exchange', 'shall', 'gave']"
struggle,"[-0.20447925 -0.08708231  0.17973304 -0.06008041 -0.10134456  0.05960577
 -0.23939142  0.12670512  0.3016997   0.3166965  -0.12667775  0.17914641
 -0.22559148  0.05772968  0.2929794  -0.11343982  0.10073906 -0.03764514
 -0.02632534  0.26810405  0.13268983  0.20937164  0.06977021  0.03615163
 -0.00321243  0.1058286   0.1258168   0.02506913  0.13191831 -0.00999284
  0.06894728  0.04362572  0.08436197  0.08260372 -0.13148448 -0.1302683
  0.08412344 -0.09890036 -0.22392994  0.10932521  0.092026    0.07050376
  0.01884346  0.21391502  0.2030448  -0.40360874 -0.22293822 -0.14658307
  0.04032169 -0.12234341]","['added', 'provided', 'impact', 'get', 'xinjiang', 'wish', 'spirit', 'integrity', 'believe', 'current', 'goal', 'job', 'adopt', 'educational', 'group', 'becoming', 'theoretical', 'deal', 'power', 'role']"
see,"[ 0.0487234  -0.01988386 -0.12662661  0.07612684 -0.1889729   0.18639329
 -0.22101653 -0.11799891  0.10406921 -0.00162763  0.0093857   0.04147999
  0.11900945 -0.07015538 -0.2686897   0.0274794  -0.17801616 -0.04904334
 -0.05220738  0.01047774 -0.2124021   0.10385033 -0.05259864  0.01113827
  0.04301644 -0.16487531  0.09080567  0.13386786 -0.1479232   0.03734899
 -0.01652262 -0.21152654 -0.02628596  0.068296   -0.0240932  -0.00319765
 -0.18165404  0.03023854 -0.08634751  0.19740492 -0.17616285 -0.06957809
 -0.10544664  0.10972893 -0.0007617  -0.16252661  0.16095081  0.1883863
 -0.1534411   0.08301453]","['development', 'science', 'addition', 'dialogue', 'zemin', 'province', 'level', 'hand', 'command', 'implementation', 'high', 'august', 'says', 'view', 'research', 'human', 'territorial', 'minister', 'global', 'shows']"
achievements,"[ 0.16013706  0.10342545 -0.0634304   0.15191671 -0.03312822 -0.03142959
 -0.19491772  0.16250958  0.05224473  0.10546227  0.12169585  0.00152249
 -0.04779629 -0.24281782 -0.05741388  0.13436392  0.18919306  0.05087361
  0.05821717 -0.01113351 -0.01197454  0.09299964  0.0927509   0.24874078
 -0.16971153 -0.03336629 -0.04115905 -0.12171051 -0.19251245  0.1778111
  0.12715088  0.16442338  0.28424466 -0.02382097  0.03315437  0.10951943
  0.07355234  0.01260635  0.18006621 -0.09548064 -0.05751281 -0.02061055
 -0.08113049  0.0657843   0.10713689 -0.12285947  0.07698724  0.21239856
 -0.00077151 -0.24512777]","['tang', 'election', 'failed', 'deputy', 'responsible', 'exchanges', 'course', 'drive', 'shanghai', 'make', 'caused', 'challenges', 'successful', 'therefore', 'theoretical', 'shall', 'systems', 'members', 'history', 'beneficial']"
arms,"[-0.0064746  -0.12428845 -0.26960686  0.18288063 -0.18766227 -0.13340487
  0.07524672  0.269213   -0.05159751 -0.7441596  -0.28098327  0.29639897
 -0.5104356  -0.47271425 -0.05380759 -0.3975628  -0.02754312  0.31024548
 -0.47391883 -0.38116986 -0.20368776  0.16915216  0.45526087 -0.38069582
 -0.0785132   0.3738555  -0.17102474  0.4514863   0.23980102  0.03530675
  0.38563988 -0.36713228 -0.11501465 -0.10453045  0.63720036  0.09733556
 -0.22773054 -0.1090119   0.0877165  -0.17268977  0.15848319 -0.192078
  0.37357038 -0.21694726 -0.07118714 -0.2987745  -0.24777699  0.02031119
  0.05625352  0.31626716]","['established', 'britain', 'east', 'organization', 'achieve', 'implemented', 'differences', 'qian', 'internet', 'road', 'wishes', 'although', 'rapid', 'issued', 'facing', 'healthy', 'handle', 'may', 'enemy', 'matter']"
organizations,"[ 0.08693218 -0.05904336 -0.02918321  0.21572888  0.0263289  -0.06978332
 -0.00466561 -0.04197646 -0.14071277  0.1439664  -0.14405695 -0.08914652
 -0.00133615 -0.17697354  0.21911238 -0.08789764  0.15741415 -0.00128253
  0.11824352 -0.28548726  0.14629981 -0.26943067 -0.01747438 -0.12312211
 -0.07565749 -0.0499141  -0.29214036 -0.00692362  0.10214338  0.04226825
 -0.01851903 -0.01743401  0.07797862  0.04796487 -0.02589421 -0.15912776
  0.06529213 -0.00352769 -0.0341912  -0.03896771  0.12372053  0.24402314
  0.1468616  -0.11846759  0.11636724  0.10828675 -0.10217614 -0.28245515
  0.07202408 -0.03248839]","['laid', 'natural', 'onechina', 'rights', 'adopt', 'provincial', 'pressure', 'peoples', 'expand', 'companies', 'defense', 'vigorously', 'whole', '1999', 'exist', 'come', 'community', 'hard', 'energy', 'establish']"
nations,"[ 0.27052128 -0.08686487 -0.23347738  0.09351724  0.08222234  0.24566016
 -0.02507586  0.04089828 -0.15420458  0.14542043  0.08635569 -0.0236539
  0.21930258  0.01165274 -0.10422971 -0.08977393 -0.12383911 -0.16128439
  0.08813989  0.06014517 -0.15951058 -0.07683357  0.00400115 -0.13086852
  0.07528581 -0.08646646 -0.01376227  0.07205963 -0.2230429  -0.04314158
  0.02515663 -0.05503505 -0.13309763  0.13720328  0.01417052 -0.4103923
  0.05953087  0.01257708  0.04805572  0.21937756 -0.04667265  0.08788094
  0.11673474 -0.08638524 -0.06754109  0.08055464 -0.05296426 -0.20892201
 -0.16847906  0.00145936]","['network', 'onechina', 'united', 'effectively', 'stresses', 'allround', 'zemin', 'korea', 'regard', 'expanding', 'entry', 'percent', '40', 'positive', 'modernization', 'judicial', 'methods', 'natural', 'dialogue', 'whole']"
cultural,"[ 0.05428316 -0.06416571  0.02134662 -0.10583753  0.32943714 -0.08040141
 -0.08418475 -0.28896436  0.00894677 -0.20164938 -0.10198954 -0.14317192
  0.14828146 -0.10407852 -0.03285439  0.16807559  0.17031325 -0.15739428
 -0.15104553 -0.11302596  0.17105465 -0.4216994  -0.17652085 -0.1191772
 -0.0560214  -0.16309169 -0.06879907 -0.10333424  0.0038274  -0.09565624
 -0.04363263 -0.09666182 -0.11601666 -0.1872318   0.25191978 -0.27137974
  0.04353016 -0.04055646 -0.01295285 -0.10874778  0.32428288 -0.02513765
 -0.07984865 -0.5696332  -0.04276064  0.15431799 -0.08016545 -0.10908102
  0.25456503  0.20361906]","['protect', 'support', 'like', 'increase', 'american', 'remain', 'public', 'living', 'expanding', 'speed', 'negotiations', 'series', 'day', 'standing', 'macao', 'concerned', 'come', 'commission', 'meanwhile', 'products']"
overall,"[-0.04299294  0.3412313   0.1529724  -0.24768491  0.26416764  0.07819628
  0.50786984 -0.25493187  0.22765258 -0.08743048 -0.1790272   0.14694865
 -0.08132195 -0.03107729  0.05480457  0.02904409  0.17217627  0.16340643
 -0.55092716  0.00932607 -0.17599921  0.12492251 -0.29728556  0.33257967
  0.19889258  0.0290782   0.2099173   0.15599973  0.04420558 -0.17210129
  0.02918036 -0.1971657  -0.22120094 -0.38419718 -0.1892533   0.03965404
 -0.34276512 -0.00351803  0.2064039  -0.17053607  0.05331874 -0.10990443
 -0.07905942 -0.42049262  0.19685401 -0.20077485 -0.20003268  0.21410732
  0.12346821  0.6829113 ]","['profound', 'increase', 'ties', 'conduct', 'council', 'form', 'opposition', 'regions', 'small', 'hopes', 'university', 'plane', 'technical', 'making', 'others', 'day', 'difficulties', 'three', 'line', 'build']"
course,"[ 0.13553128  0.20197086  0.05931598  0.03412429 -0.15645663  0.0401842
  0.07901869  0.0481826   0.04407379 -0.02185579 -0.05924605  0.03821579
 -0.08663166 -0.17018175 -0.10718557  0.12626162  0.08148129  0.10572986
 -0.12531462  0.13535236 -0.18958306  0.1741602   0.21982297  0.08019082
 -0.01192769  0.15504415 -0.00165219  0.03400327 -0.17712653 -0.08981079
  0.36433762 -0.07529797  0.04991061 -0.06419043 -0.05527454  0.02089632
 -0.14669892 -0.24231969  0.1531727   0.03933715 -0.18970257 -0.053978
 -0.02503553 -0.09102707  0.13902706 -0.23294099 -0.08392756  0.2691446
 -0.06005491  0.09217733]","['basic', 'attempt', 'principle', 'operation', 'responsible', 'changed', 'power', 'high', 'funds', 'sectors', 'communist', 'peace', 'human', 'antichina', 'exchanges', 'eight', 'parties', '100', 'global', 'adopted']"
strategy,"[ 0.09533904 -0.11143717 -0.04059319  0.28256023 -0.07623116  0.00549249
 -0.11573012  0.13061461 -0.10939916 -0.02357104  0.02819171  0.03629194
  0.01591043 -0.11107748  0.05876338 -0.08652762  0.01870804  0.07346812
 -0.05747904  0.05035715 -0.08458697  0.1112394   0.14236964  0.05431969
  0.03750937  0.03567525 -0.22755285 -0.04797038 -0.16825248 -0.01323191
  0.12113441 -0.04536226  0.16686967  0.08171108 -0.1494474   0.04843659
  0.22078775 -0.12934156 -0.00267012  0.02423952 -0.21929336  0.04263287
  0.07454631  0.08904933  0.1524881   0.02361599 -0.06207165  0.12549748
 -0.14422527 -0.10284808]","['successful', 'wei', 'drive', 'goal', 'tang', 'workers', 'emphasized', 'localities', 'existing', 'japanese', 'high', 'cold', 'responsible', 'hard', 'develop', 'history', 'political', 'structure', 'systems', 'positive']"
news,"[-0.08149397  0.02013673  0.1369738  -0.00799997  0.0424325  -0.4233605
  0.36609426  0.11831166 -0.14477408  0.0099838  -0.23671038 -0.00842055
  0.08018431 -0.21085368  0.1552323  -0.19383372  0.15527464  0.18175851
  0.46398827 -0.39256126  0.21898116 -0.0076426  -0.04698101 -0.49898693
 -0.46794     0.02245488 -0.17267041 -0.02975344  0.4973945   0.1669955
 -0.3384818   0.06695936 -0.17418379  0.20107788  0.11602765 -0.11798367
  0.13238466 -0.01930205  0.0310261   0.01447535  0.17687918  0.16020003
  0.06884942  0.20850372 -0.28403234  0.21147464  0.04571346 -0.38790107
  0.3570998   0.07914428]","['attaches', 'comrades', 'socalled', 'nmd', 'protecting', 'launched', 'laid', 'concerning', 'arms', 'revolution', 'tremendous', 'pressure', 'rapidly', 'effort', 'establish', 'accordance', 'late', 'process', 'asia', 'bush']"
changes,"[ 1.02347977e-01 -4.21029717e-01 -7.79791549e-02 -7.72257289e-03
 -1.90337226e-01  1.40502378e-01 -2.11768180e-01 -5.33652119e-02
 -2.58793887e-02  1.77266657e-01  1.12241924e-01  1.79008961e-01
  1.88602209e-02  1.03517756e-01  1.82687655e-01 -9.10027996e-02
  3.61964013e-03 -1.54367790e-01  7.49357194e-02  5.48743606e-02
  3.88399512e-02 -6.50798008e-02 -6.44387230e-02 -6.18599765e-02
  1.91744685e-01 -1.12360083e-02 -5.99298589e-02 -2.87313480e-02
 -2.32717395e-02 -1.51916014e-04  1.33603051e-01 -2.49649048e-01
 -4.91862744e-02  9.99995694e-02 -6.21176139e-02 -8.46577957e-02
 -7.11484253e-02  4.80456911e-02 -1.23893827e-01  6.84873611e-02
 -5.51127978e-02 -3.12824696e-02  1.47011220e-01  3.82081233e-02
  5.67352585e-02 -1.68892696e-01 -2.17511550e-01 -1.63617343e-01
 -2.38766730e-01  4.79311384e-02]","['get', 'japanese', 'projects', 'provincial', 'person', 'made', 'political', 'resources', 'percent', 'high', 'state', 'workers', 'look', 'zemin', 'positive', 'sides', 'onechina', 'job', 'beginning', 'defense']"
along,"[ 0.04273676 -0.05490308 -0.27370128 -0.00672213  0.01444559  0.41402847
 -0.10098498  0.08502724 -0.03219865  0.06110704  0.09005781 -0.0820443
 -0.05971836  0.02827868 -0.0938417  -0.11187948  0.00208176 -0.08478104
 -0.11481968  0.23789553 -0.26708108  0.07747905  0.09738742  0.00606717
 -0.01593019 -0.048984    0.0602423   0.18187371 -0.1892018  -0.22220398
  0.3645134  -0.10958416 -0.01210745  0.23638788  0.07261632 -0.1099392
 -0.04743421 -0.20959806  0.16683699 -0.11898936 -0.02516905  0.10157362
 -0.1313759   0.07803037  0.25007227 -0.15485819 -0.03933662  0.09158661
 -0.24159402 -0.15587486]","['official', 'view', 'democracy', 'implementation', 'science', 'find', 'using', 'particular', 'internal', 'stated', 'spokesman', 'workers', 'nearly', 'high', 'thanks', 'modernization', 'zemin', 'responsible', 'propaganda', 'sectors']"
technological,"[ 0.3849877   0.08692851 -0.01400769  0.1424477   0.3905808   0.11916774
  0.12781167 -0.29870263 -0.15807848 -0.11152948 -0.06366038 -0.2748616
  0.44067046  0.01225901 -0.28420267  0.05528122 -0.01334309 -0.14979252
 -0.28040648  0.13449317  0.03384701 -0.3828007  -0.1159691   0.12518628
  0.07290032 -0.12578537 -0.0225928  -0.15775222 -0.29775673 -0.16657859
 -0.25208127 -0.05406262 -0.10793955 -0.35616574  0.05123772 -0.2560257
  0.32084566  0.09867742 -0.00456381 -0.03810024  0.10916387 -0.02698163
  0.04936045 -0.2616421  -0.16758332  0.3294504  -0.09432304 -0.04816713
 -0.10878418  0.00292734]","['scale', 'european', 'given', 'mechanism', 'protect', 'act', 'cause', 'nuclear', 'commission', 'western', 'judicial', 'speed', 'india', 'nations', 'increase', 'statement', 'dprk', 'practice', 'task', 'macao']"
