单词,词向量,近似top20
us,"[-0.3853765   0.26574346 -0.10061122 -0.16650234 -0.3326526  -0.15125808
  0.37227738  0.0281072   0.02642661 -0.31532443 -0.1139785   0.2139248
 -0.2890931   0.04082743 -0.01757766  0.16323815 -0.14558686  0.06883805
  0.09324234 -0.11433544 -0.02991959  0.14189267 -0.32522905 -0.31484908
 -0.03777222  0.1769184   0.1252059   0.297313    0.25265637  0.2731386
  0.10989474 -0.10547474 -0.36267594  0.21862538  0.27353528  0.5363104
 -0.13646667  0.14624259 -0.09136719  0.13964845  0.06295327 -0.01541544
  0.20303524  0.00719313 -0.25245774 -0.29910278  0.0972846  -0.03875724
  0.38720956  0.5635538 ]","['historical', 'dialogue', 'summit', 'anniversary', 'within', 'signed', 'something', 'made', 'established', 'says', 'problem', 'accept', 'build', 'religious', 'sinojapanese', 'seriously', 'large', 'closely', 'person', 'healthy']"
economic,"[ 0.76107764  0.39222383  0.11402598 -0.24474604  0.6644728  -0.05222817
  0.31702977 -0.4405403  -0.27088714 -0.69759876  0.11974341 -0.3600439
  0.11816505 -0.26430112 -0.631117    0.52281463  0.40051055 -0.38081333
 -0.7912724  -0.08369573 -0.11681077 -0.05240788 -0.14631791  0.654531
  0.24403556 -0.02146673  0.08454238 -0.02838362 -0.6265881  -0.05042699
  0.13971879 -0.21397334 -0.4268977  -0.94382596  0.44552556 -0.31375793
 -0.03372965 -0.1763011  -0.03641929 -0.15430582 -0.03572439 -0.35461628
 -0.04421331 -0.96400297 -0.10254331  0.6762235  -0.326616    0.45143715
  0.1794665   0.3236498 ]","['qichen', 'march', 'trade', 'along', 'strictly', 'longterm', 'system', 'increase', 'normal', 'regions', 'series', 'three', 'scale', 'european', 'grand', 'products', 'nations', 'independence', 'reforms', 'given']"
relations,"[ 0.06931244 -0.06679694 -0.21191777  0.00416118 -0.04083286  0.22508495
 -0.15182777 -0.0888008  -0.00584316  0.2219891   0.27527815 -0.01756796
 -0.04668321  0.04852019 -0.12240272 -0.04453146 -0.37610412 -0.25966373
  0.17189716  0.1687473   0.0514988   0.03776426 -0.10919785  0.12815975
 -0.05042252 -0.24100058 -0.07104306  0.00288468 -0.19638692  0.09791795
 -0.12029985 -0.03933025 -0.07229257  0.12899776  0.00906933 -0.07485706
  0.14425603  0.28633043 -0.04596254  0.2778206   0.06525185 -0.0022364
 -0.05966128  0.21401204  0.0145813  -0.1379683   0.16470426 -0.04088185
 -0.2250281  -0.37053272]","['august', 'carry', 'state', 'move', 'basis', 'responsibility', 'caused', 'cult', 'korea', 'common', 'resources', 'dialogue', 'seen', 'correct', 'developing', 'command', 'maintaining', 'level', 'objective', 'task']"
united,"[-0.58976287  0.20692506 -0.07040752 -0.28335443 -0.03982141 -0.5716432
 -0.41252503 -0.36319527  0.6382451  -0.5436478   0.55632406 -0.55446535
 -0.8086087   0.15362577 -0.23428136  0.5025006  -0.28289205 -0.5253602
  0.28347835  0.11296949  0.22373682 -0.38589612 -0.39281222 -0.7984657
  0.409701   -0.3694598   0.50951344  0.27371874  0.898824    0.46690542
 -0.34876236 -0.66659534 -0.4275395   0.02834858  0.557817    0.6342062
 -0.38022557  0.71709436 -0.4471695   0.08452673  0.48384088 -0.33238074
 -0.28626955  0.0604086  -0.42018723  0.43845713  0.35915098 -0.67603904
  0.48610476 -0.31433183]","['life', 'report', 'leader', 'generation', 'culture', 'long', 'absolutely', 'secretary', 'raise', 'north', 'rongji', 'accept', 'billion', 'representative', 'tasks', 'already', 'budget', 'authorities', 'standards', 'manner']"
states,"[ 0.08817105 -0.20467073 -0.32582676 -0.08207156 -0.12847702  0.10765454
  0.17189427  0.03144065 -0.21100138 -0.07541312  0.11997248 -0.05118792
  0.1601026   0.04074563  0.03412907 -0.0541629  -0.03591084 -0.22635876
  0.0142889  -0.0390751   0.0727607  -0.01917365 -0.15137644 -0.15892515
  0.01553774  0.02068933 -0.16254042  0.10002957 -0.13687909 -0.15316604
 -0.08496093 -0.07878786 -0.09148235  0.2935161   0.11922426 -0.16458708
 -0.10336367 -0.10536733  0.08966431  0.05165634  0.01674967  0.10078342
 -0.02020388 -0.01821001  0.04852602  0.07425518 -0.05838224 -0.04892318
 -0.08210405  0.0394638 ]","['emphasized', 'among', 'democracy', 'view', 'organizations', 'propaganda', 'rural', 'person', 'department', 'production', 'chinese', 'defense', 'facilities', 'situation', 'percent', 'september', 'constitution', 'developing', 'stresses', 'threat']"
party,"[-0.10502345  0.05090743  0.37209234  0.08406693 -0.19745925 -0.33309337
  0.03284159 -0.09983439  0.1469162   0.1641476  -0.33706877  0.3832568
  0.1696755  -0.09786383  0.10131492  0.24755883 -0.12941313  0.0324203
  0.04339581 -0.14401875  0.12117203  0.16312031 -0.46117717  0.09004657
 -0.08978587 -0.01111293 -0.03421103 -0.2699178   0.19023146  0.23726997
 -0.13302729 -0.01537753  0.09346953 -0.0888641  -0.28804475  0.18037355
  0.3274445  -0.02185197 -0.04613995  0.31215626 -0.14314546  0.06981477
  0.20927787 -0.0910447  -0.04547436 -0.28684545  0.2778174  -0.13115118
  0.43318647  0.51161367]","['protecting', 'highlevel', 'needs', 'another', 'officials', 'diplomatic', 'company', 'eu', 'others', 'early', 'maintained', 'historic', 'sinojapanese', 'completely', 'anniversary', 'results', 'increasingly', 'reason', 'process', 'affairs']"
government,"[-0.04405615  0.24642286  0.03813862  0.0984572  -0.29724437  0.04400926
  0.07650124  0.06175924 -0.02764314  0.2833781  -0.13150111  0.10532258
  0.00956999  0.00153843  0.26883903  0.12794136  0.0773695  -0.07009515
  0.30015776 -0.14413556  0.02618842  0.1653957   0.04718037 -0.0868491
  0.02895156 -0.16510957 -0.19183406  0.06099467  0.04895906  0.22537385
  0.09734451  0.13356982 -0.17620341  0.17439906 -0.03937536 -0.06103444
 -0.00215565 -0.03006347 -0.17971198  0.34847495  0.14253625  0.14887978
  0.08830748 -0.03450547  0.02424474 -0.21879639 -0.06002371 -0.22460607
  0.20706221  0.11940092]","['integrity', 'resources', 'effort', 'bush', 'anniversary', '50', 'communist', 'issue', 'positive', 'dialogue', 'onechina', 'wish', 'high', 'china', 'department', 'situation', 'increased', 'diplomatic', 'whole', 'global']"
one,"[-3.1150943e-01  2.2411025e-01  7.8478679e-02  7.5572091e-03
 -2.9203680e-01  4.6565148e-01 -1.4941871e-01 -1.1901034e-01
  1.6936627e-01  1.3164590e-01  1.0831587e-01  1.7092893e-01
  2.4724162e-01  4.6690366e-01  6.2077820e-01  5.3583607e-02
 -3.2936361e-01  6.1125407e-04  1.5535612e-01  6.1175299e-01
 -4.2936653e-01  2.7820325e-01 -1.9109730e-01  3.1818205e-01
  2.8520381e-01  3.8481778e-01  1.5014496e-01 -1.8769529e-01
 -2.3526067e-01 -1.6074300e-01  9.2500575e-02 -1.6537210e-01
  1.9014451e-01  4.4610500e-01 -6.8680817e-01  1.3637826e-01
 -3.1754276e-01 -1.7644170e-01 -6.0848039e-01 -1.8505852e-01
 -5.0078803e-01 -2.4109107e-01 -1.2390881e-01  3.7198421e-01
  2.0556244e-01 -9.4529450e-02 -7.6409370e-02  3.5264045e-01
 -3.2246706e-01 -2.0278379e-01]","['cities', 'effective', 'structural', 'inspection', 'circles', '10', 'changed', 'success', 'south', 'able', 'general', 'current', 'command', 'accession', 'want', 'guarantee', 'welcome', 'beneficial', 'construction', 'sound']"
must,"[ 0.03504973 -0.08770106 -0.16168156  0.2618241   0.33684626  0.10210575
  0.01684111  0.00519039 -0.5102627   0.34295967 -0.1433191   0.50570846
  0.06086279 -0.1914133   0.02338904 -0.26270753  0.12096801 -0.01623669
  0.04408178 -0.35258675 -0.01654642 -0.08866805 -0.26715127 -0.04615064
 -0.10743242  0.05271592 -0.6106962   0.03797782  0.12715027 -0.2548109
 -0.48335034  0.29215378  0.09958952  0.01517861 -0.35653198 -0.32881618
  0.21699084 -0.27405033  0.291456   -0.02390404  0.13745622  0.3425636
  0.2997107   0.01906182  0.75003284  0.06630439 -0.25037718 -0.38500068
 -0.13493317 -0.11432425]","['cooperative', 'improving', 'chairman', 'created', 'ministry', 'terms', 'exist', 'visiting', 'clearly', 'domestic', 'still', 'resolve', 'companies', 'rights', 'force', 'idea', 'decision', 'police', 'arms', 'laid']"
military,"[ 0.04006691 -0.04780571 -0.07575259 -0.15663192  0.04502559  0.03750533
  0.34386495 -0.06177248 -0.06381348 -0.47494632 -0.19369917  0.0105862
  0.17978093 -0.00450967  0.08338847  0.03900731 -0.04238844  0.07869852
 -0.23434274 -0.06479254  0.12472702 -0.06949206 -0.09418795 -0.10608227
  0.11480022  0.02980272  0.02538369  0.09949455 -0.01588746  0.29666156
 -0.19540465 -0.09404607 -0.12482962 -0.15057752  0.06450405  0.04580097
 -0.02315834 -0.10892309 -0.32562566  0.0374608  -0.00489798 -0.1646763
  0.25526115 -0.24270621 -0.42266077  0.2625462  -0.24410658  0.00376437
  0.10502493  0.21648765]","['concerned', 'support', 'rapid', 'competition', 'could', 'speed', 'products', 'zhu', 'deng', 'moment', 'toward', 'form', 'series', 'public', 'big', 'old', 'natural', 'aircraft', 'carried', 'fourth']"
